                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0905,                 3.1676,                 1.8508,                0.65708,                0.76334,                0.77322,                0.31586,                 1.8405,                 2.7694,                 1.6389,              0.0002125,              0.0002125,              0.0002125
                      2,                 1.7242,                 1.6203,                 1.5477,                0.67829,                0.83143,                0.78937,                0.33849,                 1.7669,                 2.8683,                 1.6176,             0.00039419,             0.00039419,             0.00039419
                      3,                 1.7558,                 1.4403,                 1.5479,                0.70816,                0.71037,                0.75634,                0.35549,                 1.7127,                 2.3187,                 1.6172,             0.00053133,             0.00053133,             0.00053133
                      4,                 1.6848,                 1.2714,                 1.5315,                0.72173,                0.73786,                0.74502,                0.34091,                 1.7631,                 1.7156,                 1.6762,             0.00062391,             0.00062391,             0.00062391
                      5,                 1.6513,                 1.1572,                 1.5094,                0.79591,                0.81364,                0.84232,                0.42343,                 1.7089,                 1.3297,                 1.5549,             0.00067195,             0.00067195,             0.00067195
                      6,                 1.6083,                 1.0728,                 1.4457,                0.89203,                0.86288,                0.90686,                0.42782,                 1.7352,                 1.3144,                 1.5036,             0.00063125,             0.00063125,             0.00063125
                      7,                 1.5628,                 1.0192,                 1.3908,                0.84975,                0.91955,                0.93002,                0.46499,                 1.6739,                 1.2133,                 1.4831,              0.0005075,              0.0005075,              0.0005075
                      8,                 1.5437,                0.91108,                 1.3882,                0.87563,                0.95057,                0.94586,                0.49726,                 1.6357,                 0.9695,                 1.4248,             0.00038375,             0.00038375,             0.00038375
                      9,                  1.496,                0.83955,                   1.37,                0.91647,                0.92052,                0.93961,                0.51696,                  1.599,                0.89711,                 1.4205,                0.00026,                0.00026,                0.00026
                     10,                  1.433,                0.80124,                 1.3277,                0.89924,                0.92175,                0.96349,                0.52439,                 1.6183,                0.79494,                 1.4237,             0.00013625,             0.00013625,             0.00013625
