                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   2.54,                 4.9196,                 2.2682,                0.17795,                0.27778,                0.28645,                0.11237,                 2.1795,                  3.977,                 2.0888,                  5e-05,                  5e-05,                  5e-05
                      2,                 2.1517,                 2.7512,                 1.9093,                0.60661,                0.66443,                0.68988,                0.31534,                 2.0119,                  3.635,                 1.7597,             0.00010136,             0.00010136,             0.00010136
                      3,                 1.9108,                 2.0946,                 1.5686,                0.71811,                0.79481,                0.84016,                0.32654,                 2.0656,                 3.2061,                 1.6736,             0.00014035,             0.00014035,             0.00014035
                      4,                 1.7771,                 1.7581,                 1.5384,                0.78352,                0.73257,                0.83508,                0.35009,                 2.0884,                 2.1801,                   1.68,             0.00016696,             0.00016696,             0.00016696
                      5,                 1.6058,                 1.4648,                 1.3698,                0.72601,                0.74515,                0.74611,                 0.3002,                 1.9787,                 2.6869,                 1.6537,              0.0001812,              0.0001812,              0.0001812
                      6,                 1.6257,                 1.5054,                 1.4114,                0.86267,                0.81389,                0.85998,                0.36801,                 1.9533,                 2.0199,                 1.6837,             0.00018306,             0.00018306,             0.00018306
                      7,                 1.6702,                 1.3425,                 1.4496,                0.91913,                0.86053,                 0.9296,                0.36475,                 1.9872,                 1.8167,                 1.7626,             0.00017255,             0.00017255,             0.00017255
                      8,                 1.5783,                 1.2627,                 1.3492,                0.91892,                0.90579,                0.93673,                0.37475,                 2.0296,                 1.6794,                  1.802,             0.00014966,             0.00014966,             0.00014966
                      9,                 1.5171,                  1.166,                 1.3503,                0.90636,                0.86662,                0.95652,                 0.3929,                 2.0409,                 1.5421,                   1.79,              0.0001144,              0.0001144,              0.0001144
                     10,                 1.5099,                 1.2161,                  1.361,                0.93492,                0.85938,                  0.975,                0.40315,                 2.0161,                 1.4072,                 1.7713,             6.6762e-05,             6.6762e-05,             6.6762e-05
